Date,spy,spy_lag1,sp500,nasdaq,dji,cac40,daxi,aord,hsi,nikkei,Price
2008/3/14,-6.200004,3.160003,-32.840088,-104.27002,-199.939453,-182.719726,-139.25,30.100098,-1218.089844,-420.779297,132.770004
2008/3/17,4.049995,-6.200004,-6.049927,48.670166,29.469727,53.25,-123.290039,-106.200195,126.580078,-260.040039,126.57
2008/3/18,3.520004,4.049995,53.809937,56.51001,415.599609,132.379883,191.610351,48.800293,747.271484,313.339844,130.619995
2008/3/19,-4.089996,3.520004,-31.299927,-51.620117,-289.089843,-124.049805,-98.180175,95.699707,-1018.580078,0,134.139999
2008/3/20,3.259995,-4.089996,30.619995,47.699951,259.540039,0,0,0,0,0,130.050003
2008/3/24,1.550003,3.259995,18.779907,60.959961,185.370117,0,0,0,0,166.680664,133.309998
2008/3/25,-0.399994,1.550003,3.380005,-0.539795,-15.549805,-33.660156,64.979981,143.800293,739.970703,9.229493,134.860001
2008/3/26,-0.26001,-0.399994,-12.109985,-13.580078,-109.910156,9.480468,-22.410156,50.5,-269.179687,-30.549805,134.460007
2008/3/27,-1.209992,-0.26001,-13.319946,-23.719971,-117.959961,54.959961,101.189941,4.899902,437.740234,-24.080078,134.199997
2008/3/28,-1.700012,-1.209992,-11.099976,-26.170166,-88,-74.410156,-57.100098,-22.200195,246.728516,114.940429,132.990005
2008/3/31,2.320008,-1.700012,10.48999,41.360108,50.719726,41.109863,-11.089843,19.800293,87.890625,-169.480468,131.289993
2008/4/1,3.440002,2.320008,43.549927,56.909912,385.030274,216.410157,230.220214,28.899902,1048.839843,296.610351,133.610001
2008/4/2,-1.089996,3.440002,-4.27002,-15.51001,-45.839844,20.310058,39.159668,109,-186.21875,353.75,137.050003
2008/4/3,1.159988,-1.089996,4.160035,19,20.200195,-11.950195,-34.529785,91.799805,0,96.189453,135.960007
2008/4/4,0.75,1.159988,3.839965,19.710205,-13.440429,21.830078,48.679688,37.90039,0,-45.790039,137.119995
2008/4/7,-1.679993,0.75,-3.529907,-33.040039,-9.929688,-28.089844,-7.5,0.899903,22.240235,133.400391,137.869995
2008/4/8,0.419999,-1.679993,-4.660034,-1.640137,-28.009765,-19.240234,-43.569825,-21.399903,-213.650391,-78.799805,136.190002
2008/4/9,-1.190003,0.419999,-10.130005,-25.159912,-47.870118,-13.439942,-34.790039,-86.5,-192.009766,-265.350586,136.610001
2008/4/10,-0.929993,-1.190003,2.609985,0.919922,53,16.359864,22.490235,-65.100097,340.859375,31.959961,135.419998
2008/4/11,-1.300003,-0.929993,-25.780029,-40.679931,-255.010742,-136.77002,-177.280274,-33.5,-474.230468,70.900391,134.490005
2008/4/14,0.39,-1.300003,-0.47998,0.409912,-22.709961,45.930176,19.220215,-69.300293,-17.638672,-180.019531,133.190002
2008/4/15,0.959991,0.39,5.300049,25.98999,69.450196,19.27002,43.489746,79.300293,125.279297,178.009765,133.580002
2008/4/16,1.480011,0.959991,26.349975,33.900146,245.890625,56.799804,92.669922,86.100097,294.179687,185.169922,134.539993
2008/4/17,2.919998,1.480011,5.630005,47.199952,9.359375,5.220215,-14.259765,1.5,-135.330078,110.429688,136.020004
2008/4/18,-0.710006,2.919998,18.719971,-1.449952,224.15039,72.200195,137.660156,-44.600097,586.470703,213.589843,138.940002
2008/4/21,-0.039994,-0.710006,-1.289917,4.050049,-25.890625,-67.210449,-78.240235,130.399902,-360.359375,-52.339843,138.229996
2008/4/22,-0.100006,-0.039994,-8.03003,-5.480224,-103.569336,0.860352,-22.790039,-33.600098,539.849609,-131.950196,138.190002
2008/4/23,-0.009994,-0.100006,2.119996,16.610107,43.229493,28.419922,37.280274,70.600098,775.798829,158.270508,138.089996
2008/4/24,1.319992,-0.009994,7.359985,16.429932,83.700195,37.72998,78.739746,0,76.68164,0.700195,138.080002
2008/4/25,0.480011,1.319992,10.079956,-2.050049,42.379883,35.629883,58.72998,0,-239.800781,293.439454,139.399994
2008/4/28,-0.490006,0.480011,-2.349976,-2.629883,-20.389649,-3.799805,-8.97998,10,48.791016,0,139.880005
2008/4/29,-0.100006,-0.490006,-4.390014,14.199951,-38.919922,-9.560058,-17.209961,-32.200196,336.308593,0,139.389999
2008/4/30,-0.909988,-0.100006,-5.25,-17.709961,-13.110351,0,0,7.800293,0,-0.350586,139.289993
2008/5/1,3.959991,-0.909988,23.190063,82.649903,194.190429,0,0,13.799805,0,141.669922,138.380005
2008/5/2,-1.289993,3.959991,6.179932,-23.829834,44.04004,5.180175,54.930175,117.600098,-3.361328,0,142.339996
2008/5/5,-1.029999,-1.289993,-9.73999,-20.199952,-87.680665,-9.990234,6.659668,15.799804,-237,0,141.050003
2008/5/6,1.869995,-1.029999,11.890014,27.919922,41.930665,6.069824,-2.810058,-2.699707,293.380859,0,140.020004
2008/5/7,-2.149994,1.869995,-23.199951,-33.020019,-196.470704,-29.759765,-3.209961,-73.40039,-935.470703,-139.379883,141.889999
2008/5/8,-1.139999,-2.149994,0.609985,-17.459961,46.330079,-28.02002,3.160156,78.40039,-40.609375,-66.890625,139.740005
2008/5/9,0.649994,-1.139999,-5.5,22.099853,-115.129883,-25.910156,-19.5,42.799805,0,-375.389649,138.600006
2008/5/12,1.550003,0.649994,15,36.370118,126.530273,26.890136,41.310059,47.799805,0,248.479492,139.25
2008/5/13,0.270004,1.550003,1.25,12.260009,-46.959961,34.689942,19.120117,-2,271.189453,147.570313,140.800003
2008/5/14,-0.030014,0.270004,2.709961,-6.840088,66.169922,9.010254,-9.600098,49.40039,257.65039,205.05957,141.070007
2008/5/15,1.820008,-0.030014,15.53003,40.969971,101.450195,45.069824,31.719727,57.299805,-53.378906,196.600586,141.039993
2008/5/16,-0.050003,1.820008,1.390014,-6.589844,-7.330078,-0.220215,73.180176,23.799805,-73.429687,-69.100586,142.860001
2008/5/19,-0.539994,-0.050003,-0.790039,-24.959961,40.629883,0.92041,11.049804,8.40039,100.058593,-74.399414,142.809998
2008/5/20,-0.460006,-0.539994,-10.429931,-8.470214,-201.099609,-26.17041,-59,-71.300293,-864.230468,-217.600586,142.270004
2008/5/21,-2.380005,-0.460006,-23.230103,-42.649903,-227.25,-87.429687,-112.859863,-64.899902,156.240234,-229.86914,141.809998
2008/5/22,-0.37999,-2.380005,1.369995,-0.600097,23.209961,42.75,41.310059,29.600098,101.070312,172.449218,139.429993
2008/5/23,-1.25,-0.37999,-16.22998,-3.619873,-141.270508,-63.879883,-91.470215,-117.200196,-846.298828,-194.279296,139.050003
2008/5/27,1.369995,-1.25,10.570068,40.97998,63.270508,-32.94043,14.640136,7.200196,-30.021484,186.319335,137.800003
2008/5/28,-0.039993,1.369995,3.959961,-5.409912,50.969726,64.550293,75.030274,-48.200196,333.070312,-104.489257,139.169998
2008/5/29,1.339996,-0.039993,7.859985,33.049805,53.490235,1.279785,10.069824,36.700196,-93.730468,363.009765,139.130005
2008/5/30,-0.639999,1.339996,1.26001,-4.319825,-9.69043,19.330078,32.910156,-29.100098,93.919922,147.299805,140.470001
2008/6/2,-0.529999,-0.639999,-13.199951,-14.320068,-134.469727,-94.709961,-111.780273,11.600098,13.890625,-67.349609,139.830002
2008/6/3,-1.600006,-0.529999,-10.160034,-27.469971,-111.339843,52.049805,6.770019,-86.200196,-228.458985,-5.540039,139.300003
2008/6/4,0.880005,-1.600006,1.21997,36.459961,-3.050782,-50.55957,-28.97998,-13.899902,-177.191406,122.519531,137.699997
2008/6/5,0.970001,0.880005,22.580079,19.03003,213.930664,21.169922,1.379883,-51.600098,355.070312,137.770508,138.580002
2008/6/6,-2.690002,0.970001,-39.230103,-45.300049,-392.610351,-157.459961,-175.909668,0,0,-255.020508,139.550003
2008/6/9,-1.190003,-2.690002,-1.849976,-46.469971,67.580078,-15.02002,-0.900391,0,0,6.020508,136.860001
2008/6/10,0.300003,-1.190003,-1.890014,8.189941,8.629883,13.069824,-7.399902,-131.59961,-400.199218,-143.820313,135.669998
2008/6/11,-1.369995,0.300003,-21.309937,-30.47998,-196.709961,-109.770019,-134.279785,5.09961,-468.070313,-127.219726,135.970001
2008/6/12,0.569992,-1.369995,6.03003,8.590088,54.959961,-2.27002,53.899902,-97.299805,99.878906,0.799804,134.600006
2008/6/13,0.380005,0.569992,17.039917,20.079834,162.270508,21.240235,71.930176,39.899902,-106.599609,107.110352,135.169998
2008/6/16,1.520004,0.380005,1.859985,38.070068,-37.209961,-13.550293,-29.930176,-2.399902,193.910156,268.769531,135.550003
2008/6/17,-2.380005,1.520004,-11.119995,-36.23999,-110.970703,-4.699707,51.680176,35.200195,106.369141,-85.639648,137.070007
2008/6/18,-0.540008,-2.380005,-12.699951,-17.790039,-129.620118,-77.450196,-90.959961,17.899903,-265.089844,23.349609,134.690002
2008/6/19,-1.309998,-0.540008,4.130005,14.790039,33.13086,22.010254,26.299805,-56.200196,-31.369141,-153.69043,134.149994
2008/6/20,-0.75,-1.309998,-21.25,-25.409912,-218.360352,-115.690429,-143.689942,-92.899902,-410.90039,-401.579101,132.839996
2008/6/23,-1.039993,-0.75,-2.54004,-40.75,-1.469726,17.100097,1.229981,19.5,290.169922,-3.160157,132.089996
2008/6/24,0.669998,-1.039993,-2.689941,1.020019,-37.050782,-24.699707,-36.399903,-13.200195,47.910156,54.5,131.050003
2008/6/25,-1.149994,0.669998,1.75,-10.959961,3.260743,0.919922,19.889649,-28.699707,-2.630859,24.629883,131.720001
2008/6/26,-2.290008,-1.149994,-32.690063,-46.23999,-355.720704,-82.290039,-122.509766,10.100097,-841.269532,-240.15039,130.570007
2008/6/27,-0.39,-2.290008,-5.539917,-7.200195,-107.149414,-3.839844,-25.669922,-15,336.650391,-20.75,128.279999
2008/6/30,-1.370002,-0.39,-1.370118,-38.179932,-1.060547,6.299805,-29.290039,-18.40039,0,-69.649414,127.889999
2008/7/1,2.269996,-1.370002,9.130005,37.330078,37.700196,-60.799805,-74.47998,-98.899903,0,-24.990235,126.519997
2008/7/2,-1.679992,2.269996,-22.859985,-49.830078,-166.339844,-108.290039,-56.620118,-76.899902,-395.900391,-328.089844,128.789993
2008/7/3,-0.32,-1.679992,-0.059937,1.949951,73.19043,63.589844,49.339844,-11,13.208985,51.019532,127.110001
2008/7/7,-1.800003,-0.32,-11.060058,-18.790039,-64.160157,-50.419922,1.850098,-66.899902,230,73.700195,126.790001
2008/7/8,2.510002,-1.800003,21.540039,45.729981,156.899415,68.659668,16.520019,-52.899903,108.160156,-116.610352,124.989998
2008/7/9,-3.07,2.510002,-28.130005,-50.679932,-233.919922,-61.879883,7.939942,26.199707,-178.789062,-235.580078,127.5
2008/7/10,-0.459999,-3.07,3.410034,-6.570068,78.160156,-11.189941,-28.459961,-29.100097,272.570312,129.19043,124.43
2008/7/11,1.290001,-0.459999,-7.050049,29.480224,-122.530274,-102.359863,-125.52002,22.700195,370.359375,-41.209961,123.970001
2008/7/14,-3.459999,1.290001,-14.780029,-65.680175,-52.839843,-59.739991,-29.759765,-53.5,-560.960937,-120.160156,125.260002
2008/7/15,-0.350006,-3.459999,-12.179932,22.090088,-88.910157,-18.350097,-54.27002,-114.299805,-655.298829,-177.009766,121.800003
2008/7/16,3.690002,-0.350006,31.660035,77.300048,276.5,104.420166,76.449707,58.09961,836.5,164.679688,121.449997
2008/7/17,1.029999,3.690002,11.909912,-9.650146,198.169922,12.219726,84.410156,28.200195,185.699219,86.419922,125.139999
2008/7/18,0.340004,1.029999,3.599975,3.830078,58.459961,123.510254,119.959961,-40.399902,512.339844,0,126.169998
